# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1433
#@/user_id	Amber_76Game_Windows
a 	啊	c=5 d=1.33539 t=1433
jing dong 	京東	c=1 d=0.045502 t=1433
jing le 	驚了	c=1 d=0.0439369 t=1433
jing yan 	經驗	c=2 d=0.464478 t=1433
jing ying 	精英	c=1 d=0.249075 t=1433
jiu 	就	c=11 d=2.88448 t=1433
jiu shi 	就是	c=2 d=0.0826254 t=1433
jiu xing 	就行	c=1 d=0.802519 t=1433
ju bu 	局部	c=1 d=0.449329 t=1433
ju xing 	舉行	c=1 d=0.755784 t=1433
ju zhong 	居中	c=2 d=0.0937766 t=1433
jue de 	覺得	c=1 d=0.0124629 t=1433
jue se 	角色	c=7 d=1.60591 t=1433
jue xing 	覺醒	c=3 d=1.10589 t=1433
ka si 	卡死	c=1 d=0.0350844 t=1433
kai 	開	c=1 d=0.0675424 t=1433
kai guan 	開關	c=1 d=0.0668703 t=1433
kai le 	開了	c=1 d=0.0108347 t=1433
kai qi 	開啓	c=1 d=0.460704 t=1433
kai shi 	開始	c=4 d=0.74626 t=1433
kai xin 	開心	c=1 d=0.113042 t=1433
kan le 	看了	c=1 d=0.65377 t=1433
kan ni 	看你	c=2 d=0.0579458 t=1433
kan shu 	看書	c=0 d=0.0794534 t=1433
kao 	考	c=2 d=1.43112 t=1433
kao 	靠	c=1 d=0.304221 t=1433
kao shi 	考試	c=1 d=0.882497 t=1433
ke 	可	c=1 d=0.0492917 t=1433
ke 	殼	c=1 d=0.557106 t=1433
ke neng 	可能	c=1 d=0.0315873 t=1433
ke yi 	可以	c=12 d=2.02866 t=1433
kong zhi 	控制	c=1 d=0.0867261 t=1433
ku 	酷	c=1 d=0.554327 t=1433
kuai 	塊	c=1 d=0.435541 t=1433
kuai 	快	c=1 d=0.740818 t=1433
kuai di 	快遞	c=1 d=0.0125254 t=1433
kuai qu 	快去	c=1 d=0.140156 t=1433
kuang jia 	框架	c=1 d=0.519442 t=1433
la 	啦	c=1 d=0.891366 t=1433
lai 	來	c=3 d=1.06671 t=1433
lai yuan yu 	來源於	c=1 d=0.273898 t=1433
lang hao 	狼毫	c=1 d=0.771052 t=1433
lao ge 	老哥	c=1 d=0.190139 t=1433
lao ge 	老歌	c=1 d=0.189191 t=1433
lao shi 	老是	c=1 d=0.0247235 t=1433
le 	了	c=16 d=3.03429 t=1433
lei 	類	c=1 d=0.369723 t=1433
lei si 	類似	c=1 d=0.514274 t=1433
lei xing 	類型	c=8 d=2.4405 t=1433
li 	裏	c=13 d=1.99879 t=1433
li mian 	裏面	c=5 d=0.524663 t=1433
li zi 	粒子	c=2 d=0.848628 t=1433
lian jie 	連接	c=1 d=0.463013 t=1433
lian jie 	鏈接	c=1 d=0.0294518 t=1433
lian xu 	連續	c=1 d=0.479505 t=1433
liang ge 	兩個	c=3 d=0.904837 t=1433
liang zhong 	兩種	c=1 d=0.0685632 t=1433
liao 	料	c=1 d=0.245367 t=1433
liao jie 	瞭解	c=2 d=1.49279 t=1433
lie biao 	列表	c=2 d=0.861593 t=1433
ling qu 	領取	c=1 d=0.425283 t=1433
ling wai 	另外	c=1 d=0.535261 t=1433
liu 	六	c=1 d=0.0997588 t=1433
liu shi 	流逝	c=1 d=0.310367 t=1433
liu xia 	留下	c=1 d=0.955997 t=1433
lu jing 	路徑	c=1 d=0.0319048 t=1433
luan 	亂	c=1 d=0.559898 t=1433
ma 	嗎	c=4 d=0.970446 t=1433
man 	蠻	c=1 d=0.869358 t=1433
mei 	每	c=3 d=1.33515 t=1433
mei 	沒	c=2 d=0.674811 t=1433
mei ge 	每個	c=1 d=0.255381 t=1433
mei mai 	沒買	c=1 d=0.0409665 t=1433
mei na dao 	沒拿到	c=1 d=0.135335 t=1433
mei shi 	沒事	c=1 d=0.778801 t=1433
mei tian 	每天	c=1 d=0.254107 t=1433
mei you 	沒有	c=19 d=2.25742 t=1433
mei zi zi 	美滋滋	c=1 d=1 t=1433
men 	們	c=1 d=0.946485 t=1433
mian ban 	面板	c=1 d=0.020141 t=1433
mian fei 	免費	c=1 d=0.0898153 t=1433
min ye 	敏爺	c=1 d=0.0244775 t=1433
ming 	名	c=2 d=0.392126 t=1433
ming ming 	命名	c=2 d=0.224783 t=1433
mo huang 	莫慌	c=1 d=0.110251 t=1433
